793,306,1
849,348,1
779,354,1
686,71,1
634,201,1
717,203,1
716,204,1
1058,211,1
1030,226,1
913,244,1
1273,148,1
684,318,1
901,336,1
137,220,1
117,176,1
143,225,1
1070,198,1
1082,196,1
1079,198,1
628,445,1
533,249,1
501,221,1
564,198,1
514,196,1
576,206,1
495,175,1
808,183,1
728,172,1
517,267,2
515,275,2
525,312,2
531,257,2
499,229,2
509,247,2
471,259,2
416,246,2
671,341,2
651,281,2
663,290,2
683,189,2
679,190,2
632,195,2
589,201,2
646,205,2
642,194,2
561,266,2
93,258,2
542,260,2
130,182,2
412,202,2
419,195,2
560,228,2
548,196,2
515,190,2
480,209,3
474,209,3
277,219,3
269,224,3
83,273,3
677,261,3
647,188,3
606,174,3
657,195,3
684,273,3
706,450,3
122,236,3
523,223,3
565,236,3
133,219,3
130,187,3
130,192,3
558,180,3
509,177,3
322,72,3
